Comment,Designator,Footprint,LCSC,Quantity
1kΩ,R6,R_0402,C11702,1
22uF,"C10,C3",C_1206,C12891,2
10uF,C9,C_1206,C13585,1
100nF,"C12,C13,C16,C4,C6,C7",C_0603,C14663,6
10uF,C14,C_0805,C15850,1
68kΩ,R3,R_0805,C17801,1
220nF,C2,C_1206,C1857,1
H15VL10B,"D2,D4",D_DFN1006-2L,C20615791,2
Red,D6,D_0603,C2286,1
100nF,C5,C_1206,C24497,1
10kΩ,"R2,R5,R7",R_0402,C25744,3
33kΩ,R1,R_0402,C25779,1
10kΩ,R4,R_0603,C25804,1
4.7kΩ,"R_i2c1,R_i2c2",R_0402,C25900,2
ESP32-C3-WROOM-02,U2,ESP32-C3-WROOM-02,C2934560,1
4.7uF,"C1,C17",C_1206,C29823,2
AS5600,U1,SOIC-8_3.9x4.9mm_P1.27mm,C499458,1
10nF,C8,C_0603,C57112,1
RST_BTM,S2,SW_TS-1088-AR02016,C720477,1
SMBJ6.5CA,D1,D_SMB,C7420377,1
0.05ohm,R_SHUT2,1206,C7467249,1
DRV8871DDA,U_MOTOR_1,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,C75864,1
2.2uH,L1,L_Vishay_IHLP-1616,C844973,1
SS34,"D3,D5",D_SMA,C8678,2
INA219AxDCN,U_6,SOT-23-8,C87469,1
SP3485EN,U3,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C8963,1
TPS563200,U5,SOT-23-6,C97253,1
~,H6,Hole_Tooling_JLCPCB,,1
~,H4,Hole_Tooling_JLCPCB,,1
USB_PAD,,PinSocket_2x03_P2.54mm_Vertical,,0
~,H5,Hole_Tooling_JLCPCB,,1
120,,0805,,0
B2B-XH-A_LF__SN_,J_MOT1,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,,1
B3B-XH-A_LF__SN_,J_BUS1,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
B2P-VH_LF__SN_,J_PWR1,JST_VH_S2P-VH_1x02_P3.96mm_Horizontal,,1
47uF,C15,CP_Radial_D8.0mm_P3.50mm,,1
B2P-VH_LF__SN_,J_PWR2,JST_VH_S2P-VH_1x02_P3.96mm_Horizontal,,1
NTC 10K,J_NTC1,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,,1
B3B-XH-A_LF__SN_,J_BUS2,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,,1
