Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_1206,125.7,-95.05,90.0,top
C10,22uF,C_1206,107.2,-62.8,-90.0,top
C12,100nF,C_0603,107.5,-68.7,90.0,top
C13,100nF,C_0603,112.25,-66.05,0.0,top
C14,10uF,C_0805,129.6,-64.05,180.0,top
C15,47uF,CP_Radial_D8.0mm_P3.50mm,105.847825,-85.239738,165.0,bottom
C16,100nF,C_0603,119.2,-59.05,-90.0,top
C17,4.7uF,C_1206,116.9,-95.05,90.0,top
C2,220nF,C_1206,108.8,-95.05,90.0,top
C3,22uF,C_1206,104.7,-62.78,-90.0,top
C4,100nF,C_0603,116.7,-71.78,-90.0,top
C5,100nF,C_1206,112.9,-88.15,0.0,top
C6,100nF,C_0603,102.8,-81.0,90.0,top
C7,100nF,C_0603,151.6,-78.6,180.0,top
C8,10nF,C_0603,129.8,-62.05,180.0,top
C9,10uF,C_1206,105.3,-68.8,90.0,top
D1,SMBJ6.5CA,D_SMB,127.8,-88.6,180.0,top
D2,H15VL10B,D_DFN1006-2L,118.7,-95.05,-90.0,top
D3,SS34,D_SMA,111.5,-73.7,0.0,top
D4,H15VL10B,D_DFN1006-2L,112.9,-89.95,180.0,top
D5,SS34,D_SMA,104.0,-73.3,180.0,top
D6,Red,D_0603,102.4,-63.1,90.0,top
H4,~,Hole_Tooling_JLCPCB,143.9,-57.7,0.0,top
H5,~,Hole_Tooling_JLCPCB,100.2,-51.2,0.0,top
H6,~,Hole_Tooling_JLCPCB,135.8,-98.8,0.0,top
J_BUS1,B3B-XH-A_LF__SN_,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,129.155,-55.4,270.0,bottom
J_BUS2,B3B-XH-A_LF__SN_,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,105.8,-55.4,90.0,bottom
J_MOT1,B2B-XH-A_LF__SN_,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,112.85,-93.3,0.0,bottom
J_NTC1,NTC 10K,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,121.85,-93.35,0.0,bottom
J_PWR1,B2P-VH_LF__SN_,JST_VH_S2P-VH_1x02_P3.96mm_Horizontal,105.6,-94.95,90.0,bottom
J_PWR2,B2P-VH_LF__SN_,JST_VH_S2P-VH_1x02_P3.96mm_Horizontal,128.8,-94.95,270.0,bottom
J_USB1,USB_PAD,PinSocket_2x03_P2.54mm_Vertical,119.66,-88.27,90.0,top
L1,2.2uH,L_Vishay_IHLP-1616,111.0,-61.90775,-90.0,top
R1,33kΩ,R_0402,115.5,-69.3,-90.0,top
R2,10kΩ,R_0402,130.2,-85.6,180.0,top
R3,68kΩ,R_0805,108.1,-80.2,-90.0,top
R4,10kΩ,R_0603,111.0,-71.2,0.0,top
R5,10kΩ,R_0402,116.7,-69.28,-90.0,top
R6,1kΩ,R_0402,103.4,-65.8,0.0,top
R7,10kΩ,R_0402,114.0,-69.3,90.0,top
R_SHUT2,0.05ohm,1206,106.2,-88.0,180.0,top
R_TERM_1,120,0805,103.0,-56.6,-90.0,top
R_i2c1,4.7kΩ,R_0402,148.75,-70.5,0.0,top
R_i2c2,4.7kΩ,R_0402,151.25,-70.5,180.0,top
S1,RST_BTM,SW_TS-1088-AR02016,126.575,-72.95,180.0,bottom
S2,BOOT_BTM,SW_TS-1088-AR02016,118.45,-61.2,90.0,bottom
U1,AS5600,SOIC-8_3.9x4.9mm_P1.27mm,150.0,-75.0,90.0,top
U2,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,124.6,-75.3,-90.0,top
U3,SP3485EN,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,122.45,-61.05,90.0,top
U5,TPS563200,SOT-23-6,111.0,-68.8,270.0,top
U_6,INA219AxDCN,SOT-23-8,105.225,-81.6625,0.0,top
U_MOTOR_1,DRV8871DDA,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,112.25,-82.35,180.0,top
