Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17",C_1206,2,4.7uF,C29823
"C10, C3",C_1206,2,22uF,C12891
"C12, C13, C16, C4, C6, C7",C_0603,6,100nF,C14663
C14,C_0805,1,10uF,C15850
C15,CP_Radial_D8.0mm_P3.50mm,1,47uF,
C2,C_1206,1,220nF,C1857
C5,C_1206,1,100nF,C24497
C8,C_0603,1,10nF,C57112
C9,C_1206,1,10uF,C13585
D1,D_SMB,1,SMBJ6.5CA,C7420377
"D2, D4",D_DFN1006-2L,2,H15VL10B,C20615791
"D3, D5",D_SMA,2,SS34,C8678
D6,D_0603,1,Red,C2286
"H4, H5, H6",Hole_Tooling_JLCPCB,3,~,
"J_BUS1, J_BUS2",JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,2,B3B-XH-A_LF__SN_,B3B-XH-A(LF)(SN)
J_MOT1,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,B2B-XH-A_LF__SN_,B2B-XH-A(LF)(SN)
J_NTC1,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,NTC 10K,
"J_PWR1, J_PWR2",JST_VH_S2P-VH_1x02_P3.96mm_Horizontal,2,B2P-VH_LF__SN_,B2P-VH(LF)(SN)
J_USB1,PinSocket_2x03_P2.54mm_Vertical,1,USB_PAD,
L1,L_Vishay_IHLP-1616,1,2.2uH,C844973
R1,R_0402,1,33kΩ,C25779
"R2, R5, R7",R_0402,3,10kΩ,C25744
R3,R_0805,1,68kΩ,C17801
R4,R_0603,1,10kΩ,C25804
R6,R_0402,1,1kΩ,C11702
"R_I2C1, R_I2C2",R_0402,2,4.7kΩ,C25900
R_SHUT2,1206,1,0.05ohm,C7467249
R_TERM_1,0805,1,120,
S1,SW_TS-1088-AR02016,1,RST_BTM,C720477
S2,SW_TS-1088-AR02016,1,BOOT_BTM,C720477
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,AS5600,C499458
U2,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2934560
U3,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,SP3485EN,C8963
U5,SOT-23-6,1,TPS563200,C97253
U_6,SOT-23-8,1,INA219AxDCN,C87469
U_MOTOR_1,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,DRV8871DDA,C75864
